wo,ata,ac,pos,pn_off,sn_off,pn_on,sn_on,label,cert
190105016,26-16,B737-8,AFT,473597-5,54499,473597-5,SJA4399,4015714,13103242
190155306,25-33,B737-8,RH REAR,72184025,4336,72184025,4433,4009394,WAV996
55604263,72-00,B737-8,#2,340-001-036-0,DM129539,340-001-038-0,DM128145,3810313,R2502120
55604263,72-00,B737-8,#2,340-001-036-0,DM129555,340-001-038-0,DM150402,3810283,R2502141
55604263,72-00,B737-8,#2,340-001-036-0,DM129568,340-001-038-0,DM164394,3808403,9001
55604263,72-00,B737-8,#2,340-001-036-0,DM129632,340-001-039-0,DB188422,3810302,R2502141
55332931,25-32,M73-82,FWD GALLEY,62197-301-001,17-07-0394,62197-301-001,23-08-0264,4128843,KAV0526014
35050545,25-31,B737-8,FWDGALLY,72184025,4243,72184025,N12061898044876,3807433,KAV0225030
35050545,25-31,B737-8,AFTGALLY,62197-301-001,21-02-0154,62197-301-001,23-05-0007,3813334,WAV313
55193745,25-31,B737-8,AFTGALLY,8201-11-0000-01,22-02-0653,8201-11-0000-01,09-05-26954,3745311,KAV1124004
41292878,25-00,B737-8,AFT,62197-301-001,17-01-0348,62197-301-001,17-12-0457,3786294,PAV9378
55607294,33-21,B737-8,CABIN,9651-35-0002,22460,9651-35-0002,70774,3749358,20079376
190648786,33-20,B737-8,LH,9651-35-0004,7702,9651-35-0004,10562,3802624,ARC140398
41577144,27-36,B737-8,RH STAB,0851HT1,358907,0851HT2,477621,4021082,408617900
191266864,25-00,M73-82,GALLEY G4,62197-301-001,17-12-0470,62197-301-001,21-02-0164,4145904,KAV0426065
980007101,25-00,B737-8,AFT GALLEY,72184025,3052,62197-301-001,17-01-0351,4097120,
55611485,26-00,B737-8,AFT,473597-5,SJA6290,473597-5,49316,3897341,R550737-63210
190556809,34-00,B737-8,CAPT,0851HT1,429519,0851HT2,482184,4120835,409001021
55697741,25-35,B737-8,FWD,62197-301-001,17-12-0464,62197-301-001,16-10-0281,3664646,1154600
55067117,23-51,B737-8,#3,5145-1-82,19512,5145-1-82,14118,3780447,PAV9263
55564311,33-20,B737-8,31DEF,9651-35-0005,16533,9651-35-0005,20392,3907484,150308
55156029,33-21,B737-8,18ABC,9651-35-0002,39584,9651-35-0002,40013,4173752,ARC174315
190019479,25-00,B737-8,AFTGALLY,8201-11-0000,04-09-20359,8201-11-0000,08-07-25651,4072187,KAV0126074
190368385,33-21,M73-82,19ABC,9651-35-0002,51699,9651-35-0002,38792,3966596,ARX157032
55357307,33-21,M73-82,2DEF,9651-35-0005,49591,9651-35-0005,31805,3869372,ARC146901
42206366,33-21,M73-82,22ABC,9651-35-0002,63514,9651-35-0002,51188,3976993,20113356
190433636,25-00,M73-82,GALLEY G4,62197-301-001,18-01-0444,62197-301-001,21-02-0153,4213934,WAV1579
190733553,25-00,B737-8,AFTGALLY,62197-301-001,17-08-0410,62197-301-001,23-04-0113,3912308,1378274
41702599,33-00,B737-8,14 LH,9651-35-0005,50792,9651-35-0005,49296,3817217,20091176-1
190443838,25-00,M73-82,FWD,62197-301-001,16-08-0247,62197-301-001,19-07-0259,4102366,WAV1308
190576722,33-20,B737-8,21DEF,9651-35-0002,17559,9651-35-0002,39401,4084636,7668
190100199,33-00,B737-8,RH,45-0351-4,3700,45-0351-4,0223,4091861,PAV13418
191464935,33-00,B737-8,ROW 32 RH,9651-35-0005,24874,9651-35-0005,27658,4116719,ARC169949
55620167,72-21,B737-8,#1,340-001-038-0,DM143956,340-001-036-0,PF499452,3988934,60322
190960619,25-30,B737-8,AFTGALLY,72184025,4078,72184025,4418,4224682,WAV1662
190608676,33-00,B737-8,#30 LH,9651-35-0005,31805,9651-35-0005,23614,3855383,5252
190031496,25-30,B737-8,AFT,8201-11-0000-01,17-12-40074,8201-11-0000,03-09-19336,3515449,1009213
190676385,25-30,B737-8,AFTGALLY,8201-11-0000,04-09-20357,8201-11-0000-01,17-12-40061,3605903,1101496
41961765,33-00,B737-8,8DEF,9651-35-0002,16894,9651-35-0002,24674,4160172,173469
191407790,33-21,B737-8,30ABC,9651-35-0005,36960,9651-35-0005,61629,4145076,20212662
55507408,25-00,B737-8,FWDGALLY,8201-11-0000,07-10-24299,8201-11-0000-01,19-07-0772,3819934,1296652
190573801,26-16,B737-8,FWD,473597-5,SJB5722,473597-5,54499,4128827,13609254
190227994,25-00,B737-8,AFT,8201-11-0000-01,17-12-40076,8201-11-0000,02-09-18201,3841844,1315517
190789117,34-11,B737-8,CAPT,0851HT1,387693,0851HT2,468859,3828916,725552
42201743,73-00,M73-82,#1,2085M31G03,PAT1B599,2085M31G03,PSDNE956,3750186,NAB24A-04411
42201743,73-00,M73-82,#1,2085M31G03,PAT1B604,2085M31G03,PSDNF165,3750096,NAB24A-04562
190581955,25-00,B737-8,AFTGALLY,62197-301-001,21-11-0684,62197-301-001,16-08-0257,3978014,WAV879
190577527,25-31,B737-8,AFTGALLY,8201-11-0000,08-07-25651,8201-11-0000,05-08-21351,3872818,KAV0525040
55697852,25-35,B737-8,AFT,72184025,4170,72184025,4310,3747163,KAV1124035
191479990,26-00,B737-8,AFT,473597-5,SJA6637,473597-5,25114A,4050490,13287327
55739967,38-00,32S,5050MM,14330-230,15635,14330-230,ZSK198,3995938,6343
190651228,36-00,B737-8,#2,107484-7,14168,107484-7,10419,3952593,354113406
190329851,23-00,M73-82,FWD CAB,285W0024-1B,F25293,285W0024-1M,F52477,3951472,154867
